Issued_Date,Permit__,Status,Designation,Project_Description,Permit_Type,Address,Valuation,Fees_Paid,Square_Feet,Finaled_Date,ObjectId
2022/03/06 06:00:00+00,B2202-0113,Project Finaled / Closed,Commercial,"Demolition and rebuild of 1 stair tower, Exterior repairs, framing, brick veneer, and stucco",Alteration/Renovation,"1113 OXBOW DR, IRVING TX 75038","$10,000.00",$52.00,0,2022/05/26 05:00:00+00,356
2022/03/07 06:00:00+00,2022-03-554,Expired,Commercial,Previously completed project needing a new inspection and service release. Old permit# E2010-0033,Electrical Standalone,"949 N BELT LINE RD CELL, Irving TX 75061","$1,000.00",$52.00,20,,357
2022/03/07 06:00:00+00,2022-03-630,Expired,Commercial,New irrigation on the Williams Square plaza renovation,Irrigation Permit,"5221 N OCONNOR BLVD, Irving TX 75039","$45,600.00",$160.00,33440,,358
2022/03/07 06:00:00+00,2022-03-563,Project Finaled / Closed,Commercial,Replacing 35' Building Drain-30' Main Sewer Line,Plumbing Standalone,"2121 E GRAUWYLER RD, Irving TX 75061","$19,500.00",$52.00,1,2022/03/10 06:00:00+00,359
2022/03/07 06:00:00+00,2022-03-650,Expired,Commercial,REPLACE BACKFLOW DEVICE TO ENTIRE BUILDING,Plumbing Standalone,"750 W INTERSTATE HWY 635, Irving TX 75063","$1,000.00",$52.00,0,,360
2022/03/07 06:00:00+00,B2202-0114,Project Finaled / Closed,Commercial,"Demolition and rebuild of 1 stair tower, Exterior repairs, framing, brick veneer, and stucco",Alteration/Renovation,"1115 OXBOW DR, IRVING TX 75038","$10,000.00",$52.00,0,2022/05/26 05:00:00+00,361
2022/03/07 06:00:00+00,B2202-0115,Project Finaled / Closed,Commercial,"Demolition and rebuild of 1 stair tower, Exterior repairs, framing, brick veneer, and stucco",Alteration/Renovation,"1117 OXBOW DR, IRVING TX 75038","$10,000.00",$52.00,0,2022/05/26 05:00:00+00,362
2022/03/07 06:00:00+00,2022-03-656,Project Finaled / Closed,Commercial,"GAS TEST INSPECTION FOR RELEASE
****ATMOS 9002388018****",Plumbing Standalone,"2224 E AIRPORT FWY, IRVING TX 75060",$400.00,$52.00,0,2022/03/08 06:00:00+00,363
2022/03/08 06:00:00+00,2022-03-676,Project Finaled / Closed,Commercial,CO-SAINT AUGUSTINE RECYCLING,Certificate of Occupancy,"930 N BELT LINE RD, 122, Irving TX 75061",$0.00,$105.00,3000,2022/03/15 05:00:00+00,364
2022/03/08 06:00:00+00,2022-03-669,Project Finaled / Closed,Commercial,Replace gas water heater,Plumbing Standalone,"310 S STORY RD, Irving TX 75060","$3,500.00",$52.00,100,2022/03/09 06:00:00+00,365
2022/03/08 06:00:00+00,B2201-0282,Expired,Commercial,KSC interior remodel for offices,Alteration/Renovation,"1775 HURD DR, Irving TX 75038","$541,660.00","$1,618.68",8321,,366
2022/03/08 06:00:00+00,B2202-0117,Expired,Commercial,EXTERIOR FRONT FACADE REMODEL,Alteration/Renovation,"2904-2908 N MACARTHUR BLVD, Irving TX 75062","$50,000.00",$52.00,0,,367
2022/03/08 06:00:00+00,2022-03-707,Project Finaled / Closed,Commercial,"INSTALL 19 STEEL PIERS & 17 WARRANTY ADJ, RESET/RESHIM ORIG CONSTRUCTION PIERS, MUDJACK/VOID FILL APPROX 3716 SQ FT
****RECEIVED FINAL ENGINEER FOUNDATION REPORT, SCANNED IN ONBASE",Foundation Repair,"9425 N MACARTHUR BLVD, Irving TX 75063","$39,092.49",$125.00,3716,2022/06/27 05:00:00+00,368
2022/03/08 06:00:00+00,2022-03-672,Project Finaled / Closed,Commercial,Need a clean and show permit and the power turned on,Electrical Standalone,"6025 Commerce Dr, 500, Irving TX 75063",$0.00,$52.00,6510,2022/03/10 06:00:00+00,369
2022/03/08 06:00:00+00,2022-03-709,Project Finaled / Closed,Commercial,Replacing Sewer line from Bld to City tap,Plumbing Standalone,"700 W AIRPORT FWY, Irving TX 75061","$10,000.00",$52.00,0,2022/03/09 06:00:00+00,370
2022/03/08 06:00:00+00,2022-03-690,Expired,Commercial,"On Site Utilities:  Sanitary Lines up to 5' of the building
423' STORM
171' WATER
88' SANITARY",Plumbing Standalone,"3336 W ROYAL LN, IRVING TX ","$60,000.00",$226.92,12020,,371
2022/03/08 06:00:00+00,2022-03-699,Project Finaled / Closed,Commercial,replace shingled roof,Roof,"1427 W Shady Grove Rd, irving TX 75060",$0.00,$100.00,4960,2022/04/08 05:00:00+00,372
2022/03/09 06:00:00+00,H2004-0019,Expired,Commercial,CERTIFICATE OF OCCUPANCY>>CERTIFICATE OF OCCUPANCY>>MWF:  CITY OF IRVING (PAVILION & RESTROOM BLDG),Certificate of Occupancy,"175 W THIRD ST, IRVING TX 75060",$0.00,$0.00,3211,2022/03/09 06:00:00+00,373
2022/03/09 06:00:00+00,2022-02-187,Project Finaled / Closed,Commercial,"MINOR DEMO, CREATION OF GRAB N GO VENDING MACHINES ON 1ST FLOOR LOBBY",Alteration/Renovation,"3701 REGENT BLVD, 1ST FLR, Irving TX 75063","$126,948.63",$702.90,3088,2022/08/10 05:00:00+00,374
2022/03/09 06:00:00+00,2022-03-491,Project Finaled / Closed,Commercial,king tut  led channel letters attached to the wall,Sign,"2241 W ROCHELLE RD, Irving TX 75062",$500.00,$50.00,39,2022/09/15 05:00:00+00,375
2022/03/09 06:00:00+00,G2004-0003,Expired,Commercial,TREE REMOVAL,Miscellaneous - C,"2320 E UNION BOWER RD, IRVING TX 75061",$0.00,$52.00,0,,376
2022/03/09 06:00:00+00,B2202-0106,Project Finaled / Closed,Commercial,"ADDING A DOOR TO EXISTING INTERIOR WALL FROM VESTIBULE AREA TO OTHER EXISTING AREA, STANDARD 3'X7' INTERIOR DOOR.",Alteration/Renovation,"4400 REGENT BLVD, Irving TX 75063","$3,000.00",$52.00,40,2022/04/13 05:00:00+00,377
2022/03/09 06:00:00+00,2022-03-753,Project Finaled / Closed,Commercial,1ST BANNER 2022 UP 03/09/2022 DOWN 03/22/2022,Banner,"3578 W AIRPORT FWY, Irving TX 75061",$200.00,$35.00,0,2022/03/23 05:00:00+00,378
2022/03/09 06:00:00+00,B2107-0217,Project Finaled / Closed,Commercial,"COMMERCIAL BUILDING>>RESTAURANT>>Tenant Improvement - No change of use
Tenant Improvement (Restaurant inside WalMart), MWF:SUBCO - CHARLEYS PHILLY STEAKS",Alteration/Renovation,"1635 MARKET PLACE BLVD, Irving TX 75063","$49,000.00",$607.50,0,2023/08/22 05:00:00+00,379
2022/03/09 06:00:00+00,B2111-0068,Project Finaled / Closed,Commercial,"COMMERCIAL BUILDING>>RESTAURANT>>Tenant Improvement (Restaurant inside WalMart)
MWF:SUBCO - CHARLEYS PHILLY STEAKS",Alteration/Renovation,"4100 W AIRPORT FWY, Irving TX 75061","$49,000.00",$607.50,0,2023/05/22 05:00:00+00,380
2022/03/09 06:00:00+00,2022-03-492,Project Finaled / Closed,Commercial,"Install (1) set of LED illuminated channel letters reading ""The Joint Chiropractic"" to replace the existing wall sign

HOLD FOR CONTRACTOR RENEWAL",Sign,"6761 N Macarthur Blvd, 100, Irving TX 75039","$4,100.00",$50.00,28,2022/05/10 05:00:00+00,381
2022/03/10 06:00:00+00,2022-03-758,Project Finaled / Closed,Commercial,CO: TOTALLY TEA,Certificate of Occupancy,"1304 W WALNUT HILL LN, 220, Irving TX 75038",$0.00,$105.00,600,2022/03/15 05:00:00+00,382
2022/03/10 06:00:00+00,2022-03-789,Project Finaled / Closed,Commercial,"Repaired outdoor service for wash station, thief stole copper.

(Per Matt with Russ Electric, the Car Wash building has the address of 1021 W Airport Fwy - ESID# 807-6651) 
Address 2210 N Macarthur is the address to the office",Electrical Standalone,"1021 W AIRPORT FWY, Irving TX 75062","$3,000.00",$52.00,2000,,383
2022/03/10 06:00:00+00,P2202-0008,Project Finaled / Closed,Commercial,ETRAKIT PLUMBING>>OFFICE/WAREHOUSE>>GAS TEST  - Air test an existing gas line - SUITE 110,Plumbing Standalone,"7805 N MACARTHUR BLVD, 110, Irving TX 75063","$1,500.00",$52.00,0,2022/03/11 06:00:00+00,384
2022/03/10 06:00:00+00,2022-03-719,Project Finaled / Closed,Commercial,CO-ZAMORA'S TATTOOS,Sign,"2904 W IRVING BLVD, IRVING TX 75061",$300.00,$50.00,0,2022/03/15 05:00:00+00,385
2022/03/10 06:00:00+00,2022-02-149,Project Finaled / Closed,Commercial,"The space will conserve its original layout; no plumbing work will be done.  Replace part of the glass wall for sheetrock wall at Office 3 /ReceptionReplace damage ceiling tilesDemo carpet in the IT closet and replace for LVT Install millwork at the bullpen area – Mounted cabinets and Base cabinetsInstall millwork at the breakroom area – Mounted cabinets Install new wood shelves at Office 1  Install new outlets at existing walls and new walls.",Alteration/Renovation,"4425 W AIRPORT FWY, 420, Irving TX 75062","$18,123.10",$603.13,1285,2022/04/05 05:00:00+00,386
2022/03/10 06:00:00+00,2022-02-205,Expired,Commercial,"WROUGHT IRON FENCE, 6' X 480'",Fence,"3600 ESTERS RD, Irving TX 75062","$8,000.00",$50.00,0,,387
2022/03/10 06:00:00+00,2022-03-757,Project Finaled / Closed,Commercial,NEW ELECTRONIC GAS VALVE FOR FIREPLACE TO BE INSTALLED- LEAK NEAR THE FIREPLACE,Plumbing Standalone,"8001 N MACARTHUR BLVD, 261, Irving TX 75063",$900.00,$52.00,900,2022/03/14 05:00:00+00,388
2022/03/11 06:00:00+00,2022-03-777,Expired,Commercial,Replace irrigation double check,Irrigation Permit,"1425 GREENWAY DR, Irving TX 75038","$4,500.00",$160.00,25,,389
2022/03/11 06:00:00+00,2022-03-815,Expired,Commercial,Sign Permit Application for Darling water,Sign,"8140 N MACARTHUR BLVD, Irving TX 75063","$2,000.00",$50.00,30,,390
2022/03/11 06:00:00+00,2022-03-731,Project Finaled / Closed,Commercial,CO: WEBTPA,Certificate of Occupancy,"8500 FREEPORT PARKWAY SOUTH, 110, IRVING TX 75063",$0.00,$105.00,3261,2022/03/29 05:00:00+00,391
2022/03/14 05:00:00+00,CO2112-0032,Project Finaled / Closed,Commercial,"CERTIFICATE OF OCCUPANCY>>CERTIFICATE OF OCCUPANCY>>MWF:  QUISITIVE LLC
****SEE PROJECT #B2112-0115 FOR ISSUED C.O.*****",Certificate of Occupancy,"1431 GREENWAY DR, 1000, IRVING TX 75038",$0.00,$0.00,5806,2022/03/14 05:00:00+00,392
2022/03/14 05:00:00+00,B2201-0261,Expired,Commercial,COMMERCIAL BUILDING>>FLATWORK>>REPLACE 1 CONCRETE APPROACH,Flatwork,"800 W ROYAL LN, Irving TX 75039","$11,675.00",$52.00,0,,393
2022/03/14 05:00:00+00,2022-03-846,Project Finaled / Closed,Commercial,replace 4 roof top units,Mechanical Standalone,"2323 CHEYENNE ST, irving TX 75062","$51,500.00",$52.00,50000,2022/11/23 06:00:00+00,394
2022/03/14 05:00:00+00,2022-03-856,Project Finaled / Closed,Commercial,NEW 47SF WALL SIGN FOR RADIANT WAXING,Sign,"6751 N MACARTHUR BLVD, 100, IRVING TX 75061","$1,800.00",$50.00,47,2022/05/19 05:00:00+00,395
2022/03/14 05:00:00+00,2022-02-339,Project Finaled / Closed,Commercial,Interior remodel,Alteration/Renovation,"105 DECKER DR, 450, Irving TX 75062","$131,000.00",$639.20,2724,2022/04/29 05:00:00+00,396
2022/03/14 05:00:00+00,B2112-0086,Project Finaled / Closed,Commercial,ENCLOSE ELEVATOR LOBBY,Alteration/Renovation,"750 W JOHN W CARPENTER FWY, 10TH FLR, IRVING TX 75039","$37,500.00",$482.50,0,2022/03/29 05:00:00+00,397
2022/03/14 05:00:00+00,B2112-0087,Project Finaled / Closed,Commercial,ENCLOSE ELEVATOR LOBBY,Alteration/Renovation,"750 W JOHN W CARPENTER FWY, 11TH FLR, IRVING TX 75039","$37,500.00",$482.50,0,2022/03/29 05:00:00+00,398
2022/03/14 05:00:00+00,2022-03-860,Expired,Commercial,"DEMO ONLY, PARKING LOT AREA FOR FUTURE AMENITIES AREA",Demolition,"8081 ROYAL RIDGE PKWY, Irving TX 75063","$39,400.00",$52.00,0,,399
2022/03/14 05:00:00+00,B2112-0088,Project Finaled / Closed,Commercial,ENCLOSE ELEVATOR LOBBY,Alteration/Renovation,"750 W JOHN W CARPENTER FWY, 12TH FLR, IRVING TX 75039","$37,500.00",$482.50,0,2022/03/29 05:00:00+00,400
2022/04/21 05:00:00+00,B2109-0218,Expired,Commercial,"4 STORY APTS (SUB PERMIT, EAST BLDG, AREA A)",New Construction,"351 E IRVING BLVD, AREA A, IRVING TX 75060",$0.00,$0.00,57483,,401
2022/04/21 05:00:00+00,B2109-0219,Expired,Commercial,"4 STORY APTS (SUB PERMIT, EAST BLDG, AREA B)",New Construction,"351 E IRVING BLVD, AREA B, IRVING TX 75060",$0.00,$0.00,31338,,402
2022/04/21 05:00:00+00,B2109-0220,Expired,Commercial,"SHELL BLDG FOR FUTURE CAFE
(SEE MASTER PERMIT B2107-0144)",Shell Building,"105 E IRVING BLVD, IRVING TX 75060",$0.00,$965.00,1386,,403
2022/04/21 05:00:00+00,2022-04-2183,Expired,Commercial,Gas Test for Outside Fireplace,Plumbing Standalone,"925 W JOHN W. CARPENTER FWY, IRVING TX 75039",$500.00,$52.00,600,,404
2022/04/21 05:00:00+00,2022-03-1089,Project Finaled / Closed,Commercial,OFFICE REMODEL WITH A C/O,Alteration/Renovation,"1425 GREENWAY DR, 350, IRVING TX 75038","$47,683.00",$681.55,2966,2022/06/01 05:00:00+00,405
2022/04/21 05:00:00+00,2022-04-2103,Project Finaled / Closed,Commercial,CO: LENGENUITY LLC,Certificate of Occupancy,"909 LAKE CAROLYN PKWY, 250, IRVING TX 75039",$0.00,$105.00,2410,2022/05/02 05:00:00+00,406
2022/04/21 05:00:00+00,2022-04-2199,Project Finaled / Closed,Commercial,Replace 75ton unit,Mechanical Standalone,"4343 W ROYAL LN, IRVING TX 75063","$90,000.00",$52.00,80000,2022/04/26 05:00:00+00,407
2022/04/21 05:00:00+00,2022-03-926,Expired,Commercial,Demo and remodel of 6 restrooms in shell building.  Each restroom will be expanded for additional toilets and sinks.  This building has never been occupied.,Alteration/Renovation,"1410 N WESTRIDGE CIR, Irving TX 75038","$75,000.00",$482.50,1600,,408
2022/04/21 05:00:00+00,2022-04-2206,Project Finaled / Closed,Commercial,Relocate gas meter,Plumbing Standalone,"137 S MAIN ST, IRVING TX 75060","$1,500.00",$52.00,1000,2022/04/26 05:00:00+00,409
2022/04/21 05:00:00+00,2022-04-2211,Project Finaled / Closed,Commercial,Clean & Show for utility release,Electrical Standalone,"2211 CENTURY CENTER BLVD, 101, IRVING TX 75062",$0.00,$52.00,7170,2022/05/03 05:00:00+00,410
2022/04/22 05:00:00+00,2022-03-1242,Project Finaled / Closed,Commercial,"INTERIOR FINISHOUT WITH C/O (with Electrical; no mechanical or plumbing)",Alteration/Renovation,"1231 GREENWAY DR, 260, Irving TX 75038","$40,000.00",$740.53,3303,2022/05/09 05:00:00+00,411
2022/04/22 05:00:00+00,2022-03-1271,Expired,Commercial,"CREATE 2ND SIMULATOR BAY, CONTRUCT 4 NEW SIMULATORS PADS, AIR CONDITION THIS AREA, CONTRUCT NEW MEZZANINA FOR 1 SIMULATOR, INCLUDES PIN WELD INSULATE DECK & INSULATE BACK EXTERIOR WALL",Alteration/Renovation,"2800 VALLEY VIEW LN, 180 - SIMULATOR, Irving TX 75062","$390,250.00","$3,435.48",19407,,412
2022/04/22 05:00:00+00,2022-04-2202,Expired,Commercial,"Install panel, transformer, and disconnects for fan coil units",Electrical Standalone,"4441 W JOHN W. CARPENTER FWY, IRVING TX 75063","$15,000.00",$52.00,4000,,413
2022/04/22 05:00:00+00,2022-02-182,Expired,Commercial,SIGN PERMIT,Sign,"3100 S BELT LINE RD, Irving TX 75060","$1,500.00",$75.00,0,,414
2022/04/22 05:00:00+00,B2110-0290,Expired,Commercial,"RETAINING WALL, 408 LF (masonry fence to be on top, separate permit for it)",Retaining Wall,"3607-3623 PORTLAND ST, IRVING TX 75062","$30,000.00",$347.92,0,,415
2022/04/22 05:00:00+00,2022-04-2167,Expired,Commercial,5' CMU FENCE & 3' WOOD FENCE ON TOP OF RETAINING WALL (separate permit for retaining wall),Fence,"3607-3623 PORTLAND ST, IRVING TX ","$17,500.00",$75.00,0,,416
2022/04/22 05:00:00+00,2022-04-2230,Expired,Commercial,New 60 AMP service for small cell hookup.,Electrical Standalone,"2921 Kinwest Pkwy # CELL, Irving TX 75063",$800.00,$52.00,0,,417
2022/04/22 05:00:00+00,2022-04-2231,Expired,Commercial,New 60 AMP hookup for new small cell service.,Electrical Standalone,"3582 W Royal Ln, Irving TX 75063",$800.00,$52.00,0,,418
2022/04/22 05:00:00+00,2022-03-971,Project Finaled / Closed,Commercial,"Replace carpet tile with Lvt  Replace Kitchen cabinets, Reno one bathroom to add a shower, remove a double vanity to add a washer and dryer",Alteration/Renovation,"2049 W Walnut Hill Ln, Irving TX 75038","$32,000.00",$482.50,401,2022/09/19 05:00:00+00,419
2022/04/22 05:00:00+00,2022-04-1971,Expired,Commercial,SIGN REFACE,Sign,"2511 TEXAS DR, IRVING TX 75062","$1,500.00",$35.00,0,,420
2022/04/25 05:00:00+00,B2201-0358,Expired,Commercial,"Repair damage to unit
***THIS IS FOR BUILDING 3706***",Alteration/Renovation,"3800 PORTLAND ST, BLDG 3706 (SUITE 284), Irving TX 75038","$33,747.67",$482.50,781,,421
2022/04/25 05:00:00+00,2022-04-2278,Project Finaled / Closed,Commercial,replace water heater in apartment 211,Plumbing Standalone,"1000 SAN JACINTO DR, 211, IRVING TX 75063","$1,000.00",$52.00,1000,2022/04/28 05:00:00+00,422
2022/04/25 05:00:00+00,2022-04-2255,Project Finaled / Closed,Commercial,replace 1/2' backflow,Plumbing Standalone,"2500 N STORY RD, IRVING TX 75062","$1,200.00",$52.00,0,2022/04/27 05:00:00+00,423
2022/04/25 05:00:00+00,2022-04-2308,Project Finaled / Closed,Commercial,INSTALLATION OF BACKFLOW (DOUBLE CHECK),Plumbing Standalone,"6333 N STATE HWY 161 SERVICE RD, MECH RM, IRVING TX 75063","$7,000.00",$52.00,0,2022/04/28 05:00:00+00,424
2022/04/25 05:00:00+00,2022-03-616,Project Finaled / Closed,Commercial,"interior fitness center build out to be an amenity space for the building's tenants. ground floor project. exterior work includes replacing fencing and repairing uneven steps, resurfacing ground.",Alteration/Renovation,"600 E LAS COLINAS BLVD, 150, Irving TX 75039","$750,000.00","$1,206.38",5965,2024/04/26 05:00:00+00,425
2022/04/25 05:00:00+00,2022-04-2261,Project Finaled / Closed,Commercial,Replace electric water heater in ceiling.,Plumbing Standalone,"3636 N MACARTHUR BLVD, 135, IRVING TX 75062","$3,500.00",$52.00,1000,2022/04/26 05:00:00+00,426
2022/04/25 05:00:00+00,2022-04-2315,Project Finaled / Closed,Commercial,INSTALL ILLUMINATED PAN CHANNEL LETTER DISPLAY w/ EXPOSED WIREWAYS & SF ILLUMINATED CABINET,Sign,"2455 E STATE HWY 356, IRVING TX 75060","$2,500.00",$150.00,186.7,2022/11/01 05:00:00+00,427
2022/04/26 05:00:00+00,2022-03-1052,Project Finaled / Closed,Commercial,"Open CMU sides every 6ft., Install #4 rebar and solid fill cell, Install Truss ties thru walls to truss' every 6ft.
(PERMIT IS NOT TO DEMO BUILDING)",Alteration/Renovation,"129 S MAIN ST, Irving TX 75060","$26,661.00",$0.00,0,2022/06/27 05:00:00+00,428
2022/04/26 05:00:00+00,2022-04-2323,Project Finaled / Closed,Commercial,REPLACE EXISTING RTU WITH SAME,Mechanical Standalone,"3939 W JOHN W. CARPENTER FWY, ROOF, IRVING TX 75063","$130,000.00",$52.00,0,2022/05/09 05:00:00+00,429
2022/04/26 05:00:00+00,2022-04-2310,Project Finaled / Closed,Commercial,No work to be done. Instructed by Reliant Energy to get an electrical permit so that Oncor can turn on the power.,Electrical Standalone,"1304 SENTER RD, IRVING TX 75060",$0.00,$52.00,0,2022/05/02 05:00:00+00,430
2022/04/26 05:00:00+00,2022-03-1362,Expired,Commercial,"Install new 48kw diesel generator on new concrete equipment pad.  Install new ATS on new h-frame.
***2/27/23:  Permit is extended to 7-31-23***",Generator,"3588 N MACARTHUR BLVD, Irving TX 75062","$15,000.00",$156.00,36,,431
2022/04/26 05:00:00+00,2022-04-2256,Project Finaled / Closed,Commercial,INSPECTION FOR TEMPORARY POWER FOR CLEAN AND SHOW,Electrical Standalone,"1419 N BELT LINE RD,  A & B, IRVING TX 75061",$0.00,$52.00,0,2022/05/04 05:00:00+00,432
2022/04/26 05:00:00+00,2022-03-1186,Project Finaled / Closed,Commercial,Interior renovation,Alteration/Renovation,"4851 REGENT BLVD, 1ST FLR, Irving TX 75063","$156,731.84",$607.50,2500,2022/08/08 05:00:00+00,433
2022/04/26 05:00:00+00,2022-04-1910,Expired,Commercial,FREE STANDING POST,Sign,"105 E SHADY GROVE RD, IRVING TX 75060","$1,500.00",$35.00,0,,434
2022/04/27 05:00:00+00,2022-04-2330,Permit Issued,Commercial,Replace 3 Air Handling Unit in Hospital,Mechanical Standalone,"400 W INTERSTATE HWY 635, IRVING TX 75063","$1,200,000.00",$52.00,0,,435
2022/04/27 05:00:00+00,2022-04-2379,Project Finaled / Closed,Commercial,New 60A 120V 1ph service for Extenet small cell node,Electrical Standalone,"3459 N BELT LINE RD, CELL, Irving TX 75062","$1,000.00",$52.00,20,2022/05/17 05:00:00+00,436
2022/04/27 05:00:00+00,2022-04-2332,Expired,Commercial,Replace 2 Boilers And 2 Pumps,Plumbing Standalone,"400 W INTERSTATE HWY 635, IRVING TX 75063","$1,200,000.00",$52.00,0,,437
2022/04/27 05:00:00+00,2022-04-2387,Expired,Commercial,UPDATE ELECTRICAL SERVICE,Electrical Standalone,"320 W AIRPORT FWY, IRVING TX 75061","$2,400.00",$52.00,0,,438
2022/04/27 05:00:00+00,2022-04-2399,Project Finaled / Closed,Commercial,"Repair a gas leak, replaced 11' of 2"" inches black pipe on boiler room by gas meter.",Plumbing Standalone,"2200 W ROCHELLE RD, IRVING TX 75062","$6,500.00",$52.00,11,2022/04/29 05:00:00+00,439
2022/04/27 05:00:00+00,2022-04-2000,Project Finaled / Closed,Commercial,"Install Medical Grade Wiring, Replace Existing/Damaged Suspended Ceiling, Replace Troffer Lights To LED, Replace Interior Doors",Alteration/Renovation,"1313 W AIRPORT FWY, 100, IRVING TX 75062","$15,000.00",$482.50,2100,2022/05/10 05:00:00+00,440
2022/04/28 05:00:00+00,2022-04-2355,Project Finaled / Closed,Commercial,243' GAS RELAY,Plumbing Standalone,"2815 N BELT LINE RD, IRVING TX 75062","$46,000.00",$52.00,1,2022/04/29 05:00:00+00,441
2022/04/28 05:00:00+00,2022-04-2413,Project Finaled / Closed,Commercial,UTILITY RELEASE,Electrical Standalone,"114 E JOHN W. CARPENTER FWY, 130, IRVING TX 75062",$0.00,$52.00,0,2022/04/28 05:00:00+00,442
2022/04/28 05:00:00+00,GEN2201-0005,Project Finaled / Closed,Commercial,GENERATOR>>COMMERCIAL>>GENERATOR,Generator,"1705 PETERS RD, IRVING TX 75061","$15,000.00",$104.00,0,2022/09/29 05:00:00+00,443
2022/04/28 05:00:00+00,2022-03-1391,Expired,Commercial,"EXISTING 1 STORY SELF STORAGE FACILITY WITH ACCESSORY BUSINESS OFFICE. THE BUILDING.  WILL REMAIN FULLY SPRINKLERED TYPE II B CONSTRUCTION.THE SCOPE OF ELECTRICAL WORK WILL INCLUDE COORDINATION TO CAP EXISTING UTLITIES BACK TO EXISTING PANELS WHICH ARE TO REMAIN IN PLACE. THE MECHANICAL SCOPE OF WORK WILL INCLUDE REMOVING ALL EXISTING DUCTWORK WHILE THE EXISTING HVAC SYSTEMS ARE TO REMAIN IN PLACE. THE PLUMBING SCOPE WILL INCLUDE REMOVING ALL PLUMBING VENTS WITH ROOF PATCH WORK AS NEEDED, THE EXISTING ROOF DRAINS ARE TO REMAIN, THE WATER SUPPLY LINES WILL BE CAPPED ABOVE CEILING AND SEWER LINES WILL BE TEMPORARILY SEALED BELOW GRADE.",Alteration/Renovation,"2111 W WALNUT HILL LN, Irving TX 75038","$90,000.00",$208.00,81486,,444
2022/04/28 05:00:00+00,2022-04-2447,Project Finaled / Closed,Commercial,UTILITY RELEASE,Electrical Standalone,"2022 E IRVING BLVD, 4, IRVING TX 75060",$0.00,$52.00,0,2022/05/03 05:00:00+00,445
2022/04/28 05:00:00+00,2022-04-2443,Project Finaled / Closed,Commercial,Plumber will be removing RPZ sn: 062517 and replacing it with RPZ sn: 105690,Plumbing Standalone,"800 W AIRPORT FWY, IRVING TX 75061","$2,400.00",$52.00,0,2024/01/23 06:00:00+00,446
2022/04/28 05:00:00+00,2022-04-2452,Expired,Commercial,"Furnish and install 7 new vertical up-blast unit, 7 new condensing units, 1 new condensate drain lines, and  furnish new and modify existing duct",Mechanical Standalone,"2925 W SHADY GROVE RD, IRVING TX 75060","$288,457.19",$52.00,0,,447
2022/04/28 05:00:00+00,2022-04-2232,Project Finaled / Closed,Commercial,NEW WALL SIGN,Sign,"1501 MERIDIAN DR, IRVING TX 75038","$1,100.00",$50.00,0,2022/07/25 05:00:00+00,448
2022/04/28 05:00:00+00,2022-04-2233,Project Finaled / Closed,Commercial,NEW BLADE SIGN,Sign,"1501 MERIDIAN DR, IRVING TX 75038","$1,100.00",$50.00,0,2022/07/25 05:00:00+00,449
2022/04/28 05:00:00+00,2022-04-2460,Project Finaled / Closed,Commercial,REPAIR HARD CEILING AND UPGRADE LIGHTING (BLDG & ELECTRICAL),Alteration/Renovation,"5221 N O'CONNOR BLVD, 110, IRVING TX 75039","$2,500.00",$0.00,0,2024/06/10 05:00:00+00,450
2022/04/08 05:00:00+00,2022-04-1748,Project Finaled / Closed,Commercial,"replace water heater in apt 2024
 replace water heater in apt 2024",Plumbing Standalone,"1000 SAN JACINTO DR, 2024, IRVING TX 75063",$750.00,$52.00,1000,2022/04/11 05:00:00+00,451
2022/05/05 05:00:00+00,S2201-0033,Project Finaled / Closed,Commercial,SIGN>>MULTI-TENANT SIGN>>NEW 70SF MULTI-TENANT SIGN,Sign,"433 E LAS COLINAS BLVD, IRVING TX 750395508","$31,000.00",$100.00,0,2022/05/06 05:00:00+00,452
2022/04/08 05:00:00+00,2022-04-1744,Expired,Commercial,"Landlord/Owner - Clean & Show; no work being done just need to turn on lights to market space.",Electrical Standalone,"4070 N BELT LINE RD, 113, IRVING TX 75038",$0.00,$52.00,1309,,453
2022/04/08 05:00:00+00,2022-04-1753,Project Finaled / Closed,Commercial,CLEAN AND SHOW,Electrical Standalone,"142 S MAIN ST, IRVING TX 75060",$0.00,$52.00,0,2022/04/12 05:00:00+00,454
2022/04/08 05:00:00+00,2022-04-1743,Project Finaled / Closed,Commercial,Installing 2 EV Chargers,Electrical Standalone,"3033 W ROYAL LN, IRVING TX 75063","$2,800.00",$52.00,400,2022/06/30 05:00:00+00,455
2022/05/05 05:00:00+00,2022-05-2590,Expired,Commercial,Install (1) one set illuminated channel letters reading HOME/WORK to canopy on West elevation,Sign,"515 Promenade, Irving TX 75039","$1,500.00",$50.00,19,,456
2022/04/08 05:00:00+00,2022-04-1711,Project Finaled / Closed,Commercial,install vinyl on existing monument panel,Sign,"6191 N STATE HWY 161 SERVICE RD, IRVING TX 75063","$1,000.00",$35.00,9.9,2022/11/01 05:00:00+00,457
2022/04/08 05:00:00+00,2022-04-1745,Expired,Commercial,new channel letters  sign -- NEW 84SF WALL SIGN,Sign,"3880 IRVING MALL DR, irving TX 75062","$5,500.00",$100.00,84,,458
